"","column_name","eights"
"289","HAJ3S",8
"290","HAJ4",888
"291","HAJ4",8
"292","HAJ5",8
"293","HAJ6",8
"294","HAJ8",88
"295","HAK1",8
"296","HAK10",8
"297","HAK11",8
"298","HAK12",NA
"299","HAK13",8
"300","HAK14",8
"301","HAK2",88
"302","HAK2",8
"303","HAK3A",8
"304","HAK3A1",888
"305","HAK3B",8
"306","HAK3B1R",888
"307","HAK3C",8
"308","HAK3C1R",888
"309","HAK4",8
"310","HAK5",88
"311","HAK5",8
"312","HAK6",8
"313","HAK7",8
"314","HAK8",888
"315","HAK8",8
"316","HAK9",8
"317","HAL1",8
"318","HAL10",8
"319","HAL11A",8
"320","HAL11B",8
"321","HAL12",8
"322","HAL12",888
"323","HAL13",NA
"324","HAL14A",8
"325","HAL14B",8
"326","HAL14C",8
"327","HAL14D",8
"328","HAL14E",8
"329","HAL15A",8
"330","HAL15B",8
"331","HAL15C",8
"332","HAL15D",8
"333","HAL15E",8
"334","HAL15F",8
"335","HAL15G",8
"336","HAL15H",8
"337","HAL15I",8
"338","HAL15J",8
"339","HAL15K",8
"340","HAL15L",8
"341","HAL15M",8
"342","HAL16A",8
"343","HAL16B",8
"344","HAL17",8
"345","HAL18",8
"346","HAL19A",8
"347","HAL19B",8
"348","HAL19C",8
"349","HAL2",8
"350","HAL2",888
"351","HAL20A",8
"352","HAL20A",888
"353","HAL20B",888
"354","HAL20B",8
"355","HAL20C",888
"356","HAL3",8
"357","HAL4",888
"358","HAL4",8
"359","HAL5",8
"360","HAL6",8
"361","HAL7",888
"362","HAL7",8
"363","HAL8",888
"364","HAL9",888
"365","HAL9",8
"366","HAM1",NA
"367","HAM10S",888
"368","HAM10S",88
"369","HAM11",8
"370","HAM12",8
"371","HAM13",8
"372","HAM14",8
"373","HAM15A",8
"374","HAM15B",8
"375","HAM15C",8
"376","HAM15D",8
"377","HAM15E",8
"378","HAM15F",8
"379","HAM15G",8
"380","HAM15H",8
"381","HAM15K",8
"382","HAM15L",8
"383","HAM15M",8
"384","HAM15N",8
"385","HAM15O",8
"386","HAM15P",8
"387","HAM15Q",8
"388","HAM15R",8
"389","HAM15S",8
"390","HAM15T",8
"391","HAM15U",8
"392","HAM15V",8
"393","HAM15W",8
"394","HAM15X",8
"395","HAM15Y",8
"396","HAM15Z",8
"397","HAM2",8
"398","HAM3",8
"399","HAM4",8
"400","HAM5S",888
"401","HAM6S",888
"402","HAM6S",88
"403","HAM7",NA
"404","HAM8S",888
"405","HAM8S",88
"406","HAM9S",888
"407","HAM9S",88
"408","HAN10A",8
"409","HAN10B",8
"410","HAN10C",8
"411","HAN10D",8
"412","HAN10E",8
"413","HAN1AS",8
"414","HAN1AS",888
"415","HAN1BS",8
"416","HAN1BS",8888
"417","HAN1C",NA
"418","HAN1D",88
"419","HAN1ES",888
"420","HAN1ES",8
"421","HAN1FS",888
"422","HAN1FS",8
"423","HAN1GS",8
"424","HAN1GS",888
"425","HAN1HS",8
"426","HAN1HS",888
"427","HAN1IS",8
"428","HAN1IS",888
"429","HAN2AS",8
"430","HAN2AS",888
"431","HAN2BS",8
"432","HAN2BS",888
"433","HAN2CS",8
"434","HAN2CS",8888
"435","HAN2DS",888
"436","HAN2DS",8
"437","HAN2ES",888
"438","HAN2ES",8
"439","HAN2FS",888
"440","HAN2FS",8
"441","HAN2GS",888
"442","HAN2GS",8
"443","HAN2HS",8
"444","HAN2HS",888
"445","HAN2IS",8
"446","HAN2IS",888
"447","HAN2JS",8
"448","HAN2JS",888
"449","HAN3AS",8
"450","HAN3AS",888
"451","HAN3BS",8
"452","HAN3BS",888
"453","HAN3CS",8
"454","HAN3CS",888
"455","HAN3DS",8
"456","HAN3DS",888
"457","HAN3ES",888
"458","HAN3ES",8
"459","HAN3FS",8
"460","HAN3FS",888
"461","HAN4AS",888
"462","HAN4AS",8
"463","HAN4BS",8
"464","HAN4BS",888
"465","HAN4CS",8
"466","HAN4CS",888
"467","HAN4DS",8
"468","HAN4DS",888
"469","HAN4ES",888
"470","HAN4ES",8
"471","HAN4FS",8
"472","HAN4FS",888
"473","HAN4GS",8
"474","HAN4GS",888
"475","HAN4HS",8
"476","HAN4HS",888
"477","HAN4IS",888
"478","HAN4IS",8
"479","HAN4JS",888
