codename_original,categories_num,categories_description,new_categories,new_categories_description,cycle_-1,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9,cycle_10,new_codename,
HAC3DR,6-16,6-16 years old,16,16 years or younger,x,,,,,,,,,,,MCD180F,2
MCD180F,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCD180F,2
MCQ180F,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCD180F,2
MCQ180F,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCD180F,2
HAC3DR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCD180F,2
HAC3DR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCD180F,2
MCD180F,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCD180F,2
MCQ180F,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCD180F,2
MCD180F,77777,Refused,77777,Refused,,,,,,,,,,,x,MCD180F,2
MCQ180F,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCD180F,2
HAC3GR,1-16,1-16 years old,16,16 years or younger,x,,,,,,,,,,,MCD180G,2
MCQ180G,10-16,10-16 years old,16,16 years or younger,,,,,,,,x,x,x,,MCD180G,2
MCD180G,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCD180G,2
MCQ180G,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCD180G,2
MCQ180G,17-84,17-84 years old,17-84,17-84 years old,,x,x,x,x,,,,,,,MCD180G,2
HAC3GR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCD180G,2
MCQ180G,3-16,3-16 years old,16,16 years or younger,,x,x,x,x,,,,,,,MCD180G,2
MCQ180G,6-16,6-16 years old,16,16 years or younger,,,,,,x,x,,,,,MCD180G,2
MCD180G,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCD180G,2
MCQ180G,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCD180G,2
MCQ180G,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCD180G,2
HAC3GR,90,90 + years,90,90 + years,x,,,,,,,,,,,MCD180G,2
HAC3GR,999,Don't know,99999,Don't know,x,,,,,,,,,,,MCD180G,2
MCD180G,99999,Don't know,99999,Don't know,,,,,,,,,,,x,MCD180G,2
MCQ180G,99999,Don't know,99999,Don't know,,x,x,x,x,x,x,x,x,x,,MCD180G,2
MCD180G,77777,Refused,77777,Refused,,,,,,,,,,,x,MCD180G,2
MCQ180G,77777,Refused,77777,Refused,,x,x,x,x,x,x,x,x,x,,MCD180G,2
MCQ180K,0-16,0-16 years old,16,16 years or younger,,x,x,x,x,x,x,x,x,x,,MCD180K,2
HAC3FR,1-16,1-16 years old,16,16 years or younger,x,,,,,,,,,,,MCD180K,2
MCD180K,16,16 years or younger,16,16 years or younger,,,,,,,,,,,x,MCD180K,2
MCQ180K,17-79,17-79 years old,17-79,17-79 years old,,,,,,x,x,x,x,x,,MCD180K,2
MCQ180K,17-83,17-83 years old,17-83,17-83 years old,,x,x,x,x,,,,,,,MCD180K,2
HAC3FR,17-89,17-89 years old,17-89,17-89 years old,x,,,,,,,,,,,MCD180K,2
MCQ180K,80,80 years or older,80,80 years or older,,,,,,x,x,x,x,x,,MCD180K,2
MCD180K,80,80 years or older,80,80 years or older,,,,,,,,,,,x,MCD180K,2
MCQ180K,85,85 years or older,85,85 years or older,,x,x,x,x,,,,,,,MCD180K,2
